GENESIS-Tabelle: 21311-0003
Students: Germany, semester, nationality, sex, subject;;;;;;;;;;;
Statistics of students;;;;;;;;;;;
Germany;;;;;;;;;;;
Students (number);;;;;;;;;;;
;;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;;Male;Female;Total;Male;Female;Total;Male;Female;Total
WT 2020/21;SF193;Church Music;292;126;418;45;45;90;337;171;508
WT 2020/21;SF005;Classical Philology;172;194;366;35;41;76;207;235;442
WT 2020/21;SF222;Communication Technology, Information Engineering;4442;639;5081;2177;693;2870;6619;1332;7951
WT 2020/21;SF303;Communication Science/Journalism;4914;11895;16809;389;1152;1541;5303;13047;18350
WT 2020/21;SF191;Composition;129;49;178;159;114;273;288;163;451
WT 2020/21;SF087;Ed.of Physically Disabled (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2020/21;SF047;Nursing Education (classif. with SF234 since 2004);-;-;-;-;-;-;-;-;-
WT 2020/21;SF091;Arts Education;989;4577;5566;108;427;535;1097;5004;6101
WT 2020/21;SF092;Art History, Art Theory;2082;7891;9973;231;1069;1300;2313;8960;11273
WT 2020/21;SF219;Plastics Technology;714;143;857;92;34;126;806;177;983
WT 2020/21;SF093;Land Management Engineering/Landscape Design;2046;2836;4882;118;282;400;2164;3118;5282
WT 2020/21;SF283;Landscape Ecology/Biogeography (ex. SF385 s. 2012);493;787;1280;16;32;48;509;819;1328
WT 2020/21;SF095;Latin;863;1176;2039;36;48;84;899;1224;2123
WT 2020/21;SF038;Latin America Studies;130;296;426;49;107;156;179;403;582
WT 2020/21;SF096;Food Chemistry;663;1503;2166;54;141;195;717;1644;2361
WT 2020/21;SF097;Food Technology;1579;2149;3728;139;256;395;1718;2405;4123
WT 2020/21;SF099;Ed. of P.w.Learning Diff. (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2020/21;SF090;Area of study: Humanities;1151;6750;7901;35;170;205;1186;6920;8106
WT 2020/21;SF154;Area of study: Social Studies;210;231;441;4;4;8;214;235;449
WT 2020/21;SF186;Area of study: Natural Sciences/General Studies;770;3494;4264;17;78;95;787;3572;4359
WT 2020/21;SF199;Area of study: Technology;659;336;995;15;14;29;674;350;1024
WT 2020/21;SF057;Aeronautical and Aerospace Engineering;5486;836;6322;1072;266;1338;6558;1102;7660
WT 2020/21;SF204;Painting;173;212;385;97;149;246;270;361;631
WT 2020/21;SF198;Health a. Soc. Care Man. (cl. w. SF232 since 2004);-;-;-;-;-;-;-;-;-
WT 2020/21;SF103;Mine Surveying;19;12;31;7;4;11;26;16;42
WT 2020/21;SF104;Mechanical Engineering;69710;9325;79035;18185;3036;21221;87895;12361;100256
WT 2020/21;SF294;Materials Engineering;1145;428;1573;483;278;761;1628;706;2334
WT 2020/21;SF237;Math.Statistics/Prob.Calc. (class.w. SF312 s.2020);-;-;-;-;-;-;-;-;-
WT 2020/21;SF105;Mathematics;26853;25834;52687;3350;2556;5906;30203;28390;58593
WT 2020/21;SF380;Mechatronics;11642;1191;12833;5830;830;6660;17472;2021;19493
WT 2020/21;SF121;Media Informatics;10892;5426;16318;1204;888;2092;12096;6314;18410
WT 2020/21;SF133;Media St./Com./Info. Sc. (cl. w. SF303 since 2008);-;-;-;-;-;-;-;-;-
WT 2020/21;SF305;Media Technology;4686;3359;8045;407;279;686;5093;3638;8731
WT 2020/21;SF304;Media Economics/Media Management;4307;7521;11828;340;777;1117;4647;8298;12945
WT 2020/21;SF302;Media Science;3743;8406;12149;372;912;1284;4115;9318;13433
WT 2020/21;SF107;Medicine (General Medicine);31959;56912;88871;5492;7349;12841;37451;64261;101712
WT 2020/21;SF247;Medical Informatics;1499;1147;2646;495;497;992;1994;1644;3638
WT 2020/21;SF061;Ground Improvement;-;-;-;-;-;-;-;-;-
WT 2020/21;SF108;Metals Technology;636;116;752;4;4;8;640;120;760
WT 2020/21;SF110;Meteorology;670;499;1169;74;68;142;744;567;1311
WT 2020/21;SF157;Microelectronics;47;7;54;165;76;241;212;83;295
WT 2020/21;SF286;Microsystems Technology;1038;203;1241;954;302;1256;1992;505;2497
WT 2020/21;SF220;Dairy Farming;42;27;69;8;21;29;50;48;98
WT 2020/21;SF111;Mineralogy;109;49;158;48;15;63;157;64;221
WT 2020/21;SF273;Medieval and Modern History;435;347;782;36;39;75;471;386;857
WT 2020/21;SF113;Music Education;3302;4256;7558;321;595;916;3623;4851;8474
WT 2020/21;SF114;Musicology/History of Music;2004;2165;4169;281;512;793;2285;2677;4962
WT 2020/21;SF064;Nature Conservation;387;714;1101;153;269;422;540;983;1523
WT 2020/21;SF223;Nautical Science/Maritime Studies;644;169;813;222;33;255;866;202;1068
WT 2020/21;SF287;New Media;1099;1232;2331;234;282;516;1333;1514;2847
WT 2020/21;SF043;Modern Greek;12;20;32;18;49;67;30;69;99
WT 2020/21;SF233;Non-medical Healthcare Professions/Therapies;2405;9875;12280;186;620;806;2591;10495;13086
WT 2020/21;SF189;Low German;2;2;4;-;-;-;2;2;4
WT 2020/21;SF119;Dutch;108;223;331;10;18;28;118;241;359
WT 2020/21;SF120;Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.);354;802;1156;27;79;106;381;881;1262
WT 2020/21;SF088;Optoelectronics;321;119;440;103;36;139;424;155;579
WT 2020/21;SF165;Orchestral Music;344;373;717;512;675;1187;856;1048;1904
WT 2020/21;SF122;Oriental Studies, Ancient Oriental Studies;442;595;1037;140;140;280;582;735;1317
WT 2020/21;SF055;Orientation studies in social sciences;-;-;-;-;-;-;-;-;-
WT 2020/21;SF019;MINT orientation studies;-;-;-;-;-;-;-;-;-
WT 2020/21;SF044;Eastern and South Eastern Europe Studies;156;245;401;60;119;179;216;364;580
WT 2020/21;SF124;Oceanography;8;7;15;9;5;14;17;12;29
WT 2020/21;SF365;Early Childhood Education;395;3305;3700;21;246;267;416;3551;3967
WT 2020/21;SF353;Plant Production;367;298;665;44;28;72;411;326;737
